Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport [kW/m],Hydrodynamic Efficiency [  ],Simulation Terminal Condition
19007,90,0.765625,8.75,45,375,5000000,50.3532470813966,2.51635725098874,0.444674954565212,COMPLETE
19008,90,0.765625,8.75,45,375,50000000,53.5172161087229,2.51635725098874,0.472616306216233,COMPLETE
19009,90,0.765625,8.75,45,625,50000,1.19727319901063,2.51635725098874,0.0105732487224026,COMPLETE
1901,20,1.5625,12.5,20,0,100000,7.11493227819074,14.972078604086,0.0237606696649623,COMPLETE
19010,90,0.765625,8.75,45,625,500000,7.03161894611596,2.51635725098874,0.0620969851324486,COMPLETE
19011,90,0.765625,8.75,45,625,5000000,48.8514508436889,2.51635725098874,0.431412430051363,COMPLETE
19012,90,0.765625,8.75,45,625,50000000,45.7395659566446,2.51635725098874,0.403931039059404,COMPLETE
19013,90,0.765625,8.75,45,875,50000,1.84371772251099,2.51635725098874,0.0162820700155313,COMPLETE
19014,90,0.765625,8.75,45,875,500000,7.75680753166537,2.51635725098874,0.0685012037285028,COMPLETE
19015,90,0.765625,8.75,45,875,5000000,45.8156211222012,2.51635725098874,0.404602690427461,COMPLETE
19016,90,0.765625,8.75,45,875,50000000,49.5350524549006,2.51635725098874,0.437449389592719,COMPLETE
19017,90,5.61458333333333,8.75,15,125,50000,95.6853695995881,135.324101053172,0.047138865806809,COMPLETE
19018,90,5.61458333333333,8.75,15,125,500000,501.224899972166,135.324101053172,0.24692566269735,COMPLETE
19019,90,5.61458333333333,8.75,15,125,5000000,374.862246219104,135.324101053172,0.184673803262787,COMPLETE
1902,20,1.5625,12.5,20,0,1000000,51.8081049496762,14.972078604086,0.173015739229212,COMPLETE
19020,90,5.61458333333333,8.75,15,125,50000000,44.0916890812033,135.324101053172,0.0217215256991946,COMPLETE
19021,90,5.61458333333333,8.75,15,375,50000,79.6794302885948,135.324101053172,0.0392536287172708,COMPLETE
19022,90,5.61458333333333,8.75,15,375,500000,474.526555212182,135.324101053172,0.233772871459031,COMPLETE
19023,90,5.61458333333333,8.75,15,375,5000000,337.683895426249,135.324101053172,0.166358095268172,COMPLETE
19024,90,5.61458333333333,8.75,15,375,50000000,47.2805708388459,135.324101053172,0.0232925105830524,COMPLETE
19025,90,5.61458333333333,8.75,15,625,50000,88.5577072607179,135.324101053172,0.0436274625492968,COMPLETE
19026,90,5.61458333333333,8.75,15,625,500000,395.872162679836,135.324101053172,0.195024221898354,COMPLETE
19027,90,5.61458333333333,8.75,15,625,5000000,453.009078813417,135.324101053172,0.223172406239457,COMPLETE
19028,90,5.61458333333333,8.75,15,625,50000000,46.5119513877953,135.324101053172,0.0229138544801268,COMPLETE
19029,90,5.61458333333333,8.75,15,875,50000,95.2164305678816,135.324101053172,0.0469078455977667,COMPLETE
1903,20,1.5625,12.5,20,0,10000000,77.8709465863387,14.972078604086,0.260053893135076,COMPLETE
19030,90,5.61458333333333,8.75,15,875,500000,465.628235521793,135.324101053172,0.229389163693187,COMPLETE
19031,90,5.61458333333333,8.75,15,875,5000000,354.065367511777,135.324101053172,0.174428336493022,COMPLETE
19032,90,5.61458333333333,8.75,15,875,50000000,48.3334126681123,135.324101053172,0.0238111872617679,COMPLETE
19033,90,5.61458333333333,8.75,25,125,50000,102.810510997895,135.324101053172,0.0303894162821738,COMPLETE
19034,90,5.61458333333333,8.75,25,125,500000,656.924073216418,135.324101053172,0.194177997297997,COMPLETE
19035,90,5.61458333333333,8.75,25,125,5000000,1848.92292420654,135.324101053172,0.546516964773349,COMPLETE
19036,90,5.61458333333333,8.75,25,125,50000000,294.824079660226,135.324101053172,0.0871460670688313,COMPLETE
19037,90,5.61458333333333,8.75,25,375,50000,91.9593831061927,135.324101053172,0.0271819675550801,COMPLETE
19038,90,5.61458333333333,8.75,25,375,500000,655.552930285868,135.324101053172,0.193772705729125,COMPLETE
19039,90,5.61458333333333,8.75,25,375,5000000,1210.67403958865,135.324101053172,0.357859104229466,COMPLETE
1904,20,1.5625,12.5,20,0,100000000,8.3001143012132,14.972078604086,0.0277186438860534,COMPLETE
19040,90,5.61458333333333,8.75,25,375,50000000,296.707926972208,135.324101053172,0.0877029072169855,COMPLETE
19041,90,5.61458333333333,8.75,25,625,50000,101.805994132002,135.324101053172,0.0300924944898027,COMPLETE
19042,90,5.61458333333333,8.75,25,625,500000,614.052659707994,135.324101053172,0.181505779067904,COMPLETE
19043,90,5.61458333333333,8.75,25,625,5000000,1469.11931886288,135.324101053172,0.43425208294142,COMPLETE
19044,90,5.61458333333333,8.75,25,625,50000000,302.637590496771,135.324101053172,0.0894556366948582,COMPLETE
19045,90,5.61458333333333,8.75,25,875,50000,70.0922165112507,135.324101053172,0.0207183246637522,COMPLETE
19046,90,5.61458333333333,8.75,25,875,500000,659.614440724285,135.324101053172,0.19497323406275,COMPLETE
19047,90,5.61458333333333,8.75,25,875,5000000,1662.57078185779,135.324101053172,0.491433756121396,COMPLETE
19048,90,5.61458333333333,8.75,25,875,50000000,302.381246421982,135.324101053172,0.0893798648041768,COMPLETE
