Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport [kW/m],Hydrodynamic Efficiency [ ],Simulation Terminal Condition
25562,40,6.6875,15,40,750,100000,66.992688790646,329.117429641307,0.00508881350219425,COMPLETE
25563,40,6.6875,15,40,750,1000000,681.634568182002,329.117429641307,0.0517774589547635,COMPLETE
25564,40,6.6875,15,40,750,10000000,3982.71518686706,329.117429641307,0.3025299504198,COMPLETE
25565,40,6.6875,15,40,750,100000000,2060.51368468697,329.117429641307,0.156518122341063,COMPLETE
25566,40,6.6875,15,40,1000,10000,6.14725528796792,329.117429641307,0.000466949995224166,COMPLETE
25567,40,6.6875,15,40,1000,100000,62.1252538964481,329.117429641307,0.00471907959752816,COMPLETE
25568,40,6.6875,15,40,1000,1000000,749.713455945958,329.117429641307,0.0569487809231984,COMPLETE
25569,40,6.6875,15,40,1000,10000000,4165.60057441361,329.117429641307,0.316422057846765,COMPLETE
2557,20,2.25,15,30,250,1000000,57.8765674614466,37.2553226321193,0.0517837124759804,COMPLETE
25570,40,6.6875,15,40,1000,100000000,1899.99121139252,329.117429641307,0.144324718191258,COMPLETE
25571,40,6.6875,15,50,0,10000,6.96355100661115,329.117429641307,0.000423165130707326,COMPLETE
25572,40,6.6875,15,50,0,100000,56.2957285004306,329.117429641307,0.00342101167730832,COMPLETE
25573,40,6.6875,15,50,0,1000000,531.952145632601,329.117429641307,0.0323259783726651,COMPLETE
25574,40,6.6875,15,50,0,10000000,5035.05496452498,329.117429641307,0.305973157970546,COMPLETE
25575,40,6.6875,15,50,0,100000000,4161.42322056437,329.117429641307,0.252883794401272,COMPLETE
25576,40,6.6875,15,50,250,10000,6.70033208328198,329.117429641307,0.000407169689589787,COMPLETE
25577,40,6.6875,15,50,250,100000,59.5489386492102,329.117429641307,0.00361870464983337,COMPLETE
25578,40,6.6875,15,50,250,1000000,641.3920002072,329.117429641307,0.0389764833121253,COMPLETE
25579,40,6.6875,15,50,250,10000000,4744.20750357466,329.117429641307,0.288298769757967,COMPLETE
2558,20,2.25,15,30,250,10000000,368.898198800684,37.2553226321193,0.330063082478531,COMPLETE
25580,40,6.6875,15,50,250,100000000,4289.28344261114,329.117429641307,0.260653678979316,COMPLETE
25581,40,6.6875,15,50,500,10000,6.39541284236613,329.117429641307,0.00038864017924157,COMPLETE
25582,40,6.6875,15,50,500,100000,69.6229111092769,329.117429641307,0.00423088568631302,COMPLETE
25583,40,6.6875,15,50,500,1000000,643.367386603484,329.117429641307,0.0390965247452659,COMPLETE
25584,40,6.6875,15,50,500,10000000,3891.86209687885,329.117429641307,0.23650294675189,COMPLETE
25585,40,6.6875,15,50,500,100000000,4419.1885474756,329.117429641307,0.268547828189586,COMPLETE
25586,40,6.6875,15,50,750,10000,6.63119734801381,329.117429641307,0.00040296846965783,COMPLETE
25587,40,6.6875,15,50,750,100000,75.8749587172833,329.117429641307,0.00461081376334135,COMPLETE
25588,40,6.6875,15,50,750,1000000,604.449634714825,329.117429641307,0.0367315480905154,COMPLETE
25589,40,6.6875,15,50,750,10000000,4935.62414160947,329.117429641307,0.299930887707079,COMPLETE
2559,20,2.25,15,30,250,100000000,102.54936351154,37.2553226321193,0.0917536576130536,COMPLETE
25590,40,6.6875,15,50,750,100000000,4139.475938763,329.117429641307,0.251550089174825,COMPLETE
25591,40,6.6875,15,50,1000,10000,5.29827334328367,329.117429641307,0.000321968565995308,COMPLETE
25592,40,6.6875,15,50,1000,100000,70.539809980062,329.117429641307,0.00428660433189094,COMPLETE
25593,40,6.6875,15,50,1000,1000000,703.618337069075,329.117429641307,0.0427578896587715,COMPLETE
25594,40,6.6875,15,50,1000,10000000,5355.47312381583,329.117429641307,0.325444515633983,COMPLETE
25595,40,6.6875,15,50,1000,100000000,4415.46984295077,329.117429641307,0.268321847783207,COMPLETE
25596,40,11.125,15,10,0,10000,31.4916700753814,910.800649904374,0.00345758098423489,COMPLETE
25597,40,11.125,15,10,0,100000,241.213680853112,910.800649904374,0.026483696611156,COMPLETE
